Simpsons Frequency Dictionary

Frequency Dictionary based on OpenSubtitles of all Simpson Episodes (in english).

Rank   Word                           Frequency
1      the                            (107946)
2      you                            (98068)
3      i                              (91502)
4      a                              (79241)
5      to                             (70362)
6      and                            (47916)
7      of                             (42175)
8      it                             (36497)
9      in                             (32503)
10     my                             (32254)
11     that                           (32083)
12     is                             (31533)
13     this                           (29902)
14     me                             (28208)
15     your                           (26781)
16     for                            (25634)
17     oh                             (25053)
18     i'm                            (23389)
19     on                             (22846)
20     we                             (21355)
21     what                           (20182)
22     no                             (19990)
23     all                            (19922)
24     have                           (19543)
25     be                             (18489)
26     but                            (18244)
27     don't                          (18022)
28     it's                           (17183)
29     do                             (16713)
30     are                            (16199)
31     just                           (16063)
32     with                           (16006)
33     not                            (15197)
34     like                           (14954)
35     so                             (14669)
36     well                           (14535)
37     now                            (14473)
38     was                            (13705)
39     get                            (13659)
40     can                            (12844)
41     you're                         (12598)
42     know                           (12300)
43     homer                          (11928)
44     out                            (11815)
45     here                           (11674)
46     one                            (11519)
47     at                             (11463)
48     that's                         (11364)
49     up                             (11179)
50     hey                            (10934)
51     right                          (10699)
52     if                             (10632)
53     go                             (9983)
54     got                            (9906)
55     bart                           (9725)
56     he                             (9382)
57     how                            (8663)
58     our                            (8612)
59     about                          (8534)
60     there                          (8231)
61     i'll                           (8171)
62     good                           (8065)
63     come                           (8017)
64     yeah                           (7980)
65     see                            (7739)
66     will                           (7736)
67     they                           (7590)
68     want                           (7537)
69     marge                          (7535)
70     man                            (7520)
71     from                           (7519)
72     as                             (7456)
73     think                          (7186)
74     an                             (6995)
75     little                         (6918)
76     can't                          (6911)
77     look                           (6857)
78     why                            (6830)
79     him                            (6489)
80     back                           (6381)
81     did                            (6260)
82     okay                           (6253)
83     who                            (6215)
84     dad                            (6145)
85     some                           (6138)
86     us                             (6107)
87     time                           (6077)
88     when                           (5994)
89     gonna                          (5925)
90     uh                             (5907)
91     take                           (5898)
92     could                          (5887)
93     simpson                        (5760)
94     his                            (5724)
95     never                          (5690)
96     lisa                           (5646)
97     going                          (5472)
98     yes                            (5465)
99     we're                          (5443)
100    i've                           (5392)
101    say                            (5375)
102    he's                           (5333)
103    by                             (5267)
104    make                           (5196)
105    would                          (5193)
106    more                           (5115)
107    been                           (4898)
108    or                             (4841)
109    love                           (4817)
110    let's                          (4722)
111    really                         (4628)
112    there's                        (4619)
113    has                            (4531)
114    her                            (4480)
115    way                            (4444)
116    down                           (4439)
117    mr                             (4438)
118    too                            (4413)
119    off                            (4273)
120    them                           (4265)
121    boy                            (4180)
122    give                           (4169)
123    something                      (4109)
124    need                           (4052)
125    where                          (4049)
126    were                           (4042)
127    only                           (4032)
128    people                         (4011)
129    what's                         (3985)
130    then                           (3984)
131    over                           (3915)
132    tell                           (3906)
133    am                             (3882)
134    sorry                          (3872)
135    had                            (3856)
136    these                          (3792)
137    let                            (3771)
138    those                          (3743)
139    two                            (3731)
140    sure                           (3708)
141    didn't                         (3675)
142    day                            (3665)
143    thing                          (3628)
144    kids                           (3574)
145    please                         (3532)
146    wait                           (3495)
147    new                            (3493)
148    mom                            (3490)
149    hmm                            (3341)
150    should                         (3309)
151    she                            (3224)
152    first                          (3192)
153    ever                           (3192)
154    better                         (3105)
155    stop                           (3097)
156    great                          (3096)
157    sir                            (3091)
158    again                          (3076)
159    god                            (3074)
160    old                            (3040)
161    help                           (2974)
162    maybe                          (2962)
163    big                            (2938)
164    any                            (2938)
165    thank                          (2916)
166    i'd                            (2861)
167    into                           (2861)
168    home                           (2831)
169    life                           (2826)
170    even                           (2807)
171    they're                        (2800)
172    than                           (2796)
173    very                           (2790)
174    gasps                          (2761)
175    put                            (2757)
176    school                         (2750)
177    said                           (2744)
178    their                          (2732)
179    mean                           (2726)
180    work                           (2717)
181    show                           (2700)
182    you've                         (2688)
183    laughing                       (2669)
184    made                           (2665)
185    son                            (2655)
186    ooh                            (2637)
187    we'll                          (2615)
188    much                           (2611)
189    hello                          (2588)
190    because                        (2587)
191    huh                            (2572)
192    last                           (2531)
193    you'll                         (2531)
194    springfield                    (2510)
195    call                           (2496)
196    always                         (2462)
197    still                          (2445)
198    money                          (2388)
199    must                           (2347)
200    name                           (2346)
201    family                         (2341)
202    night                          (2298)
203    groans                         (2294)
204    find                           (2285)
205    doing                          (2266)
206    before                         (2265)
207    thought                        (2261)
208    won't                          (2232)
209    house                          (2222)
210    every                          (2212)
211    next                           (2174)
212    ah                             (2161)
213    guy                            (2150)
214    anything                       (2145)
215    thanks                         (2143)
216    bad                            (2134)
217    isn't                          (2100)
218    guess                          (2096)
219    feel                           (2088)
220    away                           (2084)
221    burns                          (2080)
222    three                          (2079)
223    d'oh                           (2073)
224    nothing                        (2051)
225    things                         (2039)
226    baby                           (2021)
227    keep                           (2017)
228    wow                            (2008)
229    years                          (1996)
230    nice                           (1991)
231    other                          (1990)
232    gotta                          (1969)
233    does                           (1949)
234    place                          (1934)
235    we've                          (1898)
236    world                          (1883)
237    both                           (1874)
238    real                           (1872)
239    after                          (1870)
240    mmm                            (1869)
241    believe                        (1862)
242    lot                            (1850)
243    best                           (1845)
244    guys                           (1791)
245    car                            (1788)
246    ow                             (1787)
247    remember                       (1784)
248    hear                           (1774)
249    own                            (1764)
250    long                           (1761)
251    dog                            (1751)
252    around                         (1743)
253    kill                           (1739)
254    moe                            (1731)
255    fun                            (1731)
256    whoa                           (1728)
257    krusty                         (1724)
258    another                        (1722)
259    may                            (1722)
260    stupid                         (1715)
261    doesn't                        (1710)
262    grunting                       (1705)
263    grunts                         (1695)
264    talk                           (1693)
265    done                           (1685)
266    here's                         (1682)
267    happy                          (1664)
268    today                          (1656)
269    singing                        (1652)
270    use                            (1651)
271    play                           (1650)
272    which                          (1646)
273    she's                          (1646)
274    children                       (1636)
275    kind                           (1632)
276    job                            (1625)
277    wrong                          (1614)
278    fine                           (1604)
279    getting                        (1604)
280    screams                        (1587)
281    everything                     (1586)
282    girl                           (1571)
283    someone                        (1564)
284    chuckles                       (1557)
285    honey                          (1553)
286    through                        (1540)
287    coming                         (1539)
288    eat                            (1536)
289    father                         (1530)
290    most                           (1527)
291    everyone                       (1519)
292    milhouse                       (1516)
293    mother                         (1512)
294    while                          (1510)
295    worry                          (1502)
296    many                           (1472)
297    screaming                      (1454)
298    hi                             (1450)
299    enough                         (1442)
300    looks                          (1434)
301    leave                          (1423)
302    watch                          (1423)
303    hell                           (1418)
304    listen                         (1408)
305    left                           (1404)
306    shut                           (1397)
307    minute                         (1397)
308    tonight                        (1396)
309    tv                             (1391)
310    maggie                         (1385)
311    simpsons                       (1372)
312    try                            (1367)
313    talking                        (1363)
314    turn                           (1361)
315    town                           (1356)
316    friend                         (1355)
317    cool                           (1354)
318    being                          (1340)
319    friends                        (1336)
320    beer                           (1335)
321    live                           (1333)
322    kid                            (1329)
323    might                          (1323)
324    homie                          (1315)
325    without                        (1287)
326    miss                           (1284)
327    flanders                       (1282)
328    who's                          (1277)
329    room                           (1273)
330    care                           (1272)
331    everybody                      (1267)
332    once                           (1261)
333    book                           (1257)
334    wanna                          (1257)
335    stay                           (1253)
336    seen                           (1252)
337    aw                             (1241)
338    hope                           (1237)
339    told                           (1236)
340    boys                           (1230)
341    free                           (1226)
342    head                           (1224)
343    um                             (1217)
344    such                           (1204)
345    used                           (1201)
346    ya                             (1198)
347    wouldn't                       (1188)
348    run                            (1178)
349    young                          (1177)
350    whole                          (1174)
351    game                           (1174)
352    pay                            (1174)
353    dead                           (1172)
354    pretty                         (1172)
355    heard                          (1171)
356    check                          (1166)
357    continues                      (1162)
358    start                          (1161)
359    tires                          (1159)
360    together                       (1158)
361    door                           (1150)
362    yourself                       (1149)
363    sweet                          (1143)
364    course                         (1137)
365    wanted                         (1133)
366    smithers                       (1132)
367    sighs                          (1130)
368    actually                       (1127)
369    woman                          (1126)
370    says                           (1121)
371    read                           (1120)
372    trying                         (1111)
373    buy                            (1105)
374    already                        (1103)
375    'em                            (1103)
376    wife                           (1103)
377    idea                           (1102)
378    skinner                        (1101)
379    beautiful                      (1099)
380    problem                        (1092)
381    dear                           (1085)
382    forget                         (1081)
383    hard                           (1080)
384    cheering                       (1079)
385    five                           (1074)
386    face                           (1073)
387    welcome                        (1069)
388    found                          (1067)
389    hot                            (1059)
390    gone                           (1059)
391    eh                             (1058)
392    came                           (1054)
393    you'd                          (1052)
394    called                         (1050)
395    groaning                       (1047)
396    party                          (1047)
397    crazy                          (1045)
398    happened                       (1040)
399    mind                           (1038)
400    wish                           (1034)
401    myself                         (1033)
402    food                           (1029)
403    anyone                         (1028)
404    makes                          (1027)
405    laughs                         (1027)
406    movie                          (1026)
407    lost                           (1025)
408    stuff                          (1014)
409    mrs                            (1009)
410    where's                        (1009)
411    die                            (1006)
412    making                         (1000)
413    same                           (997)
414    true                           (993)
415    ned                            (989)
416    since                          (989)
417    'cause                         (981)
418    lady                           (980)
419    bring                          (979)
420    cut                            (976)
421    ask                            (976)
422    looking                        (973)
423    excuse                         (972)
424    music                          (966)
425    year                           (966)
426    word                           (965)
427    open                           (964)
428    hair                           (960)
429    hate                           (960)
430    eyes                           (958)
431    morning                        (955)
432    playing                        (953)
433    end                            (953)
434    special                        (952)
435    number                         (945)
436    screeching                     (945)
437    heart                          (944)
438    story                          (944)
439    chief                          (943)
440    fat                            (938)
441    tomorrow                       (935)
442    hold                           (934)
443    yet                            (930)
444    christmas                      (928)
445    shh                            (925)
446    went                           (922)
447    having                         (915)
448    damn                           (914)
449    four                           (913)
450    thinking                       (910)
451    funny                          (909)
452    afraid                         (909)
453    haven't                        (907)
454    comes                          (903)
455    ain't                          (902)
456    win                            (896)
457    finally                        (892)
458    aren't                         (889)
459    voice                          (888)
460    lord                           (887)
461    saying                         (886)
462    part                           (884)
463    else                           (880)
464    also                           (875)
465    class                          (875)
466    days                           (870)
467    each                           (868)
468    business                       (865)
469    couldn't                       (861)
470    under                          (856)
471    meet                           (848)
472    knew                           (847)
473    week                           (846)
474    phone                          (840)
475    ready                          (840)
476    least                          (839)
477    second                         (837)
478    few                            (829)
479    perfect                        (828)
480    save                           (828)
481    wasn't                         (824)
482    saw                            (818)
483    point                          (814)
484    easy                           (814)
485    bob                            (812)
486    understand                     (811)
487    fight                          (805)
488    rock                           (805)
489    took                           (802)
490    power                          (799)
491    taking                         (792)
492    gets                           (792)
493    minutes                        (791)
494    fire                           (789)
495    till                           (789)
496    full                           (787)
497    beeping                        (787)
498    goes                           (781)
499    until                          (781)
500    change                         (781)
501    move                           (779)
502    bell                           (779)
503    sounds                         (774)
504    dinner                         (773)
505    hit                            (771)
506    hand                           (771)
507    wants                          (769)
508    bed                            (767)
509    pick                           (762)
510    its                            (756)
511    gave                           (755)
512    deal                           (754)
513    supposed                       (754)
514    break                          (752)
515    stand                          (751)
516    humming                        (749)
517    ball                           (749)
518    ringing                        (749)
519    men                            (747)
520    drink                          (745)
521    daddy                          (741)
522    song                           (741)
523    anymore                        (741)
524    uh-oh                          (738)
525    grampa                         (736)
526    news                           (735)
527    means                          (732)
528    water                          (728)
529    needs                          (728)
530    bart's                         (725)
531    brother                        (723)
532    dr                             (722)
533    sleep                          (711)
534    hurt                           (707)
535    set                            (705)
536    times                          (701)
537    bar                            (701)
538    million                        (701)
539    ha                             (700)
540    married                        (700)
541    bet                            (699)
542    city                           (696)
543    husband                        (695)
544    gasping                        (693)
545    air                            (691)
546    mm-hmm                         (686)
547    brought                        (686)
548    attention                      (685)
549    quit                           (685)
550    chattering                     (684)
551    sit                            (680)
552    hands                          (680)
553    rest                           (680)
554    alone                          (674)
555    dream                          (672)
556    whatever                       (671)
557    chuckling                      (670)
558    plant                          (669)
559    answer                         (666)
560    learn                          (666)
561    matter                         (664)
562    line                           (662)
563    shouting                       (657)
564    sound                          (656)
565    enjoy                          (655)
566    important                      (654)
567    store                          (652)
568    team                           (651)
569    close                          (648)
570    nelson                         (648)
571    president                      (646)
572    sign                           (645)
573    hours                          (641)
574    principal                      (638)
575    kiss                           (636)
576    death                          (633)
577    drive                          (631)
578    watching                       (630)
579    side                           (629)
580    anyway                         (628)
581    mad                            (628)
582    mine                           (628)
583    apu                            (628)
584    working                        (627)
585    top                            (627)
586    pants                          (624)
587    wonderful                      (624)
588    seems                          (623)
589    quite                          (622)
590    probably                       (622)
591    birthday                       (621)
592    sister                         (619)
593    chance                         (618)
594    test                           (616)
595    trouble                        (616)
596    ice                            (616)
597    poor                           (614)
598    crowd                          (613)
599    he'll                          (613)
600    late                           (611)
601    clown                          (611)
602    itchy                          (610)
603    ago                            (610)
604    country                        (609)
605    dollars                        (608)
606    seymour                        (607)
607    secret                         (606)
608    whoo-hoo                       (605)
609    glad                           (605)
610    box                            (602)
611    case                           (601)
612    ladies                         (600)
613    inside                         (600)
614    police                         (599)
615    nobody                         (591)
616    front                          (590)
617    later                          (590)
618    fair                           (589)
619    america                        (588)
620    bus                            (588)
621    happen                         (582)
622    shot                           (581)
623    card                           (576)
624    six                            (575)
625    marriage                       (575)
626    alive                          (575)
627    throw                          (573)
628    won                            (572)
629    except                         (572)
630    exactly                        (570)
631    behind                         (568)
632    eating                         (567)
633    gentlemen                      (566)
634    soon                           (565)
635    women                          (564)
636    walk                           (564)
637    killed                         (561)
638    american                       (558)
639    telling                        (558)
640    question                       (557)
641    high                           (557)
642    bit                            (556)
643    girls                          (556)
644    order                          (555)
645    dance                          (553)
646    shall                          (552)
647    picture                        (549)
648    lenny                          (547)
649    parents                        (545)
650    spend                          (545)
651    candy                          (544)
652    beat                           (540)
653    ralph                          (539)
654    sick                           (538)
655    ho                             (538)
656    butt                           (538)
657    learned                        (537)
658    person                         (537)
659    clean                          (536)
660    plan                           (534)
661    lives                          (534)
662    yours                          (533)
663    truth                          (532)
664    started                        (529)
665    somebody                       (529)
666    rings                          (527)
667    cat                            (526)
668    send                           (526)
669    catch                          (525)
670    write                          (523)
671    against                        (522)
672    murmuring                      (521)
673    forever                        (521)
674    knows                          (521)
675    far                            (520)
676    they'll                        (520)
677    tree                           (520)
678    child                          (518)
679    good-bye                       (518)
680    different                      (518)
681    fish                           (515)
682    doctor                         (512)
683    fast                           (512)
684    folks                          (512)
685    almost                         (509)
686    terrible                       (509)
687    proud                          (508)
688    snoring                        (506)
689    eight                          (506)
690    tried                          (506)
691    war                            (505)
692    favorite                       (504)
693    scratchy                       (502)
694    laugh                          (501)
695    red                            (500)
696    earth                          (500)
697    sideshow                       (499)
698    saved                          (499)
699    barney                         (499)
700    sell                           (498)
701    nuclear                        (497)
702    promise                        (495)
703    teach                          (491)
704    along                          (490)
705    lucky                          (490)
706    wedding                        (490)
707    couple                         (486)
708    it'll                          (486)
709    wiggum                         (486)
710    bucks                          (483)
711    rich                           (483)
712    blood                          (483)
713    worse                          (482)
714    ten                            (481)
715    dogs                           (481)
716    gun                            (480)
717    future                         (480)
718    quiet                          (479)
719    throat                         (478)
720    ride                           (478)
721    eye                            (478)
722    date                           (478)
723    horn                           (478)
724    kent                           (477)
725    we'd                           (477)
726    feeling                        (477)
727    half                           (476)
728    less                           (476)
729    ends                           (476)
730    lose                           (474)
731    bought                         (474)
732    living                         (473)
733    moment                         (473)
734    return                         (473)
735    lie                            (472)
736    church                         (471)
737    ahead                          (470)
738    bill                           (469)
739    roll                           (469)
740    blue                           (467)
741    whistle                        (465)
742    human                          (465)
743    laughter                       (464)
744    words                          (464)
745    selma                          (464)
746    pie                            (464)
747    become                         (462)
748    wonder                         (461)
749    state                          (460)
750    willie                         (460)
751    body                           (459)
752    outside                        (459)
753    loud                           (459)
754    king                           (457)
755    using                          (457)
756    panting                        (456)
757    machine                        (456)
758    small                          (450)
759    smell                          (450)
760    cream                          (449)
761    hat                            (448)
762    perhaps                        (448)
763    soul                           (445)
764    mouth                          (444)
765    giving                         (444)
766    sobbing                        (444)
767    quick                          (443)
768    seven                          (443)
769    uh-huh                         (443)
770    ohh                            (442)
771    reason                         (441)
772    brain                          (441)
773    paper                          (441)
774    whimpering                     (441)
775    whoo                           (440)
776    evil                           (439)
777    cold                           (438)
778    instead                        (437)
779    office                         (437)
780    excellent                      (437)
781    dude                           (437)
782    shouldn't                      (436)
783    sweetie                        (436)
784    worst                          (435)
785    fired                          (434)
786    monkey                         (433)
787    hour                           (433)
788    paid                           (431)
789    wear                           (431)
790    act                            (430)
791    floor                          (430)
792    la                             (429)
793    stick                          (429)
794    company                        (428)
795    light                          (428)
796    greatest                       (428)
797    boss                           (428)
798    super                          (427)
799    chorus                         (427)
800    street                         (426)
801    sometimes                      (426)
802    pass                           (426)
803    yelling                        (425)
804    smart                          (425)
805    fault                          (423)
806    join                           (423)
807    safe                           (422)
808    met                            (422)
809    wake                           (420)
810    relax                          (420)
811    lousy                          (420)
812    gay                            (419)
